Dataset,Seed,Incumbent,Incumbent Cost,Runtime,Default Cost
cifar10,0,10189,8.74800001708985,39214.63847028641,24.028000017089838
cifar100,0,14366,41.86000002441406,75622.48632477579,53.97999997558594
ImageNet16-120,0,12952,69.7333333231608,188336.28668909663,72.93333334859213
cifar10,1,10431,15.71600001708984,34799.29302627984,24.42399999023438
cifar100,1,9037,33.34000008544922,68800.78806948087,53.90000000610352
ImageNet16-120,1,9152,69.53333331298828,221052.70497441496,71.60000002034505
cifar10,2,1061,15.15999998291015,36209.39639058567,24.028000017089838
cifar100,2,8733,29.12000001220703,93532.88815075437,52.49999998779297
ImageNet16-120,2,1020,70.53333338419597,201113.56612771514,73.70000003051757
cifar10,3,3501,15.74800001464844,36973.19619413784,25.315999997558592
cifar100,3,10002,30.76000000610351,64135.557991646565,53.97999997558594
ImageNet16-120,3,7579,56.60000005086263,192003.5128266144,71.60000002034505
cifar10,4,7273,10.48400001708984,42877.42330839802,24.028000017089838
cifar100,4,7273,31.080000006103518,67572.78357451294,52.49999998779297
ImageNet16-120,4,2472,55.53333338419596,203682.22241118836,73.70000003051757
cifar10,5,4964,9.96000001708984,33777.850148166915,24.028000017089838
cifar100,5,14027,32.680000109863286,78285.19104555114,53.90000000610352
ImageNet16-120,5,10658,56.333333333333336,288544.38241740054,72.93333334859213
cifar10,6,10676,8.784000017089838,51295.4103062465,25.315999997558592
cifar100,6,14204,29.560000073242193,80156.06397453087,53.90000000610352
ImageNet16-120,6,10439,53.60000007120768,232054.1465751623,72.93333334859213
cifar10,7,8178,15.43999999267578,31619.388952749094,24.42399999023438
cifar100,7,1114,29.42000010986328,61406.84243885963,52.49999998779297
ImageNet16-120,7,13390,54.10000009155274,161862.03568599635,73.70000003051757
cifar10,8,5033,15.360000024414063,32845.000575917125,24.028000017089838
cifar100,8,5033,42.360000036621095,85298.29946044233,53.90000000610352
ImageNet16-120,8,2904,56.866666687011715,177880.59685373274,72.93333334859213
cifar10,9,7583,15.50799998535156,29903.720079456027,24.028000017089838
cifar100,9,10658,29.81999995117188,60636.95763098905,52.49999998779297
ImageNet16-120,9,10658,56.333333333333336,268741.73562807305,71.60000002034505
